t,y,avg
383.0000000000,100.2780802051,104.3089298028
384.0000000000,111.6106834125,105.4421901235
385.0000000000,100.9225433161,105.3769648222
386.0000000000,100.2780802051,104.6956661651
387.0000000000,101.5747963290,104.4266855805
388.0000000000,103.5797332575,104.1475516152
389.0000000000,104.2646021752,103.9369045417
390.0000000000,105.6601093789,102.9369251801
391.0000000000,107.0910667764,103.5537775261
392.0000000000,101.5747963290,103.6834491385
393.0000000000,102.2349813422,103.8791392522
394.0000000000,106.3710729102,103.3551782019
395.0000000000,104.9580073504,103.7587246054
396.0000000000,106.3710729102,104.3680238759
397.0000000000,106.3710729102,104.8476515340
398.0000000000,105.6601093789,105.0556891461
399.0000000000,106.3710729102,105.2663362196
400.0000000000,104.2646021752,105.1267854993
401.0000000000,104.2646021752,104.8441390391
402.0000000000,102.9032439316,104.9769837994
403.0000000000,104.2646021752,105.1799458827
404.0000000000,100.2780802051,104.5706466122
405.0000000000,97.7754008314,103.8523859603
406.0000000000,100.9225433161,103.3075330009
407.0000000000,100.2780802051,102.6982337304
408.0000000000,100.9225433161,102.2244771241
409.0000000000,99.0119720645,101.4885670396
410.0000000000,97.7754008314,100.8396469052
411.0000000000,98.3900593132,100.2521926190
412.0000000000,99.0119720645,99.8630654323
413.0000000000,99.0119720645,99.3378024212
414.0000000000,100.9225433161,99.4022487323
415.0000000000,102.9032439316,99.9150330423
416.0000000000,102.9032439316,100.1131031039
417.0000000000,94.8066059443,99.5659556778
418.0000000000,98.3900593132,99.3127072775
419.0000000000,100.9225433161,99.5037644027
420.0000000000,101.5747963290,99.8837039524
421.0000000000,98.3900593132,99.8837039524
422.0000000000,97.1678704295,99.6992937889
423.0000000000,96.5673448278,99.4548310653
424.0000000000,99.0119720645,99.2637739401
425.0000000000,96.5673448278,98.6301840297
426.0000000000,95.9737035731,97.9372299939
427.0000000000,95.3868289583,97.9952522953
428.0000000000,95.3868289583,97.6949292598
429.0000000000,95.9737035731,97.2000452855
430.0000000000,93.1047345786,96.3530391104
431.0000000000,96.5673448278,96.1707676619
