t,z
450.0,90.92215311230264
451.0,88.32421328852301
452.0,89.34666976983232
453.0,91.45882705691643
454.0,90.92215311230264
455.0,95.97370357313925
456.0,87.32323008722393
457.0,91.45882705691643
458.0,91.45882705691643
459.0,92.00141602962864
460.0,90.3912979962197
461.0,90.3912979962197
462.0,90.92215311230264
463.0,93.10473457855282
464.0,91.45882705691643
465.0,92.55001836231199
466.0,93.10473457855282
467.0,96.56734482779825
468.0,95.97370357313925
469.0,95.97370357313925
470.0,96.56734482779825
471.0,92.55001836231199
472.0,95.97370357313925
473.0,92.55001836231199
474.0,93.10473457855282
475.0,95.97370357313925
476.0,98.39005931319605
477.0,90.92215311230264
478.0,91.45882705691643
479.0,91.45882705691643
480.0,96.56734482779825
481.0,95.97370357313925
482.0,96.56734482779825
483.0,92.55001836231199
484.0,97.16787042949227
485.0,93.10473457855282
486.0,93.10473457855282
487.0,89.34666976983232
488.0,90.92215311230264
489.0,91.45882705691643
490.0,91.45882705691643
491.0,91.45882705691643
492.0,91.45882705691643
493.0,86.83058067641292
494.0,86.83058067641292
495.0,84.91039196335532
496.0,90.92215311230264
497.0,84.91039196335532
498.0,85.38303333627323
499.0,87.32323008722393
500.0,87.32323008722393
501.0,86.83058067641292
502.0,87.32323008722393
503.0,87.82108002988049
504.0,86.83058067641292
505.0,86.83058067641292
506.0,86.3430507338441
507.0,85.86056087198389
508.0,87.32323008722393
509.0,88.8327144137194
510.0,89.34666976983232
511.0,87.82108002988049
512.0,87.32323008722393
513.0,84.91039196335532
514.0,85.38303333627323
515.0,85.38303333627323
516.0,86.83058067641292
517.0,86.83058067641292
518.0,86.3430507338441
519.0,89.34666976983232
520.0,88.8327144137194
521.0,86.3430507338441
522.0,87.32323008722393
523.0,90.92215311230264
524.0,91.45882705691643
525.0,86.3430507338441
526.0,87.82108002988049
527.0,88.32421328852301
528.0,86.3430507338441
529.0,90.3912979962197
530.0,90.92215311230264
531.0,89.34666976983232
532.0,91.45882705691643
533.0,90.3912979962197
534.0,91.45882705691643
535.0,91.45882705691643
536.0,91.45882705691643
537.0,92.55001836231199
538.0,93.66566745505709
539.0,90.3912979962197
540.0,92.55001836231199
541.0,93.10473457855282
542.0,93.66566745505709
543.0,93.66566745505709
544.0,93.66566745505709
545.0,88.8327144137194
546.0,89.34666976983232
547.0,89.34666976983232
548.0,89.86616758391864
549.0,88.32421328852301
550.0,88.8327144137194
551.0,92.00141602962864
552.0,93.10473457855282
553.0,93.10473457855282
554.0,93.10473457855282
555.0,93.10473457855282
556.0,90.92215311230264
557.0,90.92215311230264
558.0,92.00141602962864
559.0,91.45882705691643
560.0,90.3912979962197
561.0,92.55001836231199
562.0,92.55001836231199
563.0,90.92215311230264
564.0,93.10473457855282
565.0,93.10473457855282
566.0,93.66566745505709
567.0,96.56734482779825
568.0,95.97370357313925
569.0,97.7754008313928
570.0,99.64126827127339
571.0,95.97370357313925
572.0,92.00141602962864
573.0,92.55001836231199
574.0,92.00141602962864
575.0,93.10473457855282
576.0,90.92215311230264
577.0,92.55001836231199
578.0,93.10473457855282
579.0,93.10473457855282
580.0,96.56734482779825
581.0,98.39005931319605
582.0,99.01197206452022
583.0,97.7754008313928
584.0,100.27808020511569
585.0,98.39005931319605
586.0,98.39005931319605
587.0,93.10473457855282
588.0,93.10473457855282
589.0,95.97370357313925
590.0,96.56734482779825
591.0,93.66566745505709
592.0,93.66566745505709
593.0,95.38682895832281
594.0,100.27808020511569
595.0,97.16787042949227
596.0,94.80660594432865
597.0,92.55001836231199
598.0,93.66566745505709
599.0,93.66566745505709
600.0,91.45882705691643
601.0,90.92215311230264
602.0,91.45882705691643
603.0,91.45882705691643
604.0,93.66566745505709
605.0,90.92215311230264
606.0,90.3912979962197
607.0,92.55001836231199
608.0,91.45882705691643
609.0,92.55001836231199
610.0,93.10473457855282
611.0,93.66566745505709
612.0,93.10473457855282
613.0,90.92215311230264
614.0,91.45882705691643
615.0,91.45882705691643
616.0,93.66566745505709
617.0,88.8327144137194
618.0,88.32421328852301
619.0,89.86616758391864
620.0,90.92215311230264
621.0,93.10473457855282
622.0,93.10473457855282
623.0,93.66566745505709
624.0,96.56734482779825
625.0,97.16787042949227
626.0,99.01197206452022
627.0,96.56734482779825
628.0,92.55001836231199
629.0,93.10473457855282
630.0,92.55001836231199
631.0,93.10473457855282
632.0,95.97370357313925
633.0,93.10473457855282
634.0,93.66566745505709
635.0,93.66566745505709
636.0,93.66566745505709
637.0,91.45882705691643
638.0,91.45882705691643
639.0,90.92215311230264
640.0,92.00141602962864
641.0,92.00141602962864
642.0,89.86616758391864
643.0,90.92215311230264
644.0,86.83058067641292
645.0,86.3430507338441
646.0,89.34666976983232
647.0,89.34666976983232
648.0,90.92215311230264
649.0,91.45882705691643
650.0,91.45882705691643
651.0,88.8327144137194
652.0,88.32421328852301
653.0,89.34666976983232
654.0,88.8327144137194
655.0,88.8327144137194
656.0,90.92215311230264
657.0,90.92215311230264
658.0,91.45882705691643
659.0,91.45882705691643
660.0,93.66566745505709
661.0,93.10473457855282
662.0,90.3912979962197
663.0,94.80660594432865
664.0,92.00141602962864
665.0,92.55001836231199
666.0,89.34666976983232
667.0,93.10473457855282
668.0,98.39005931319605
669.0,98.39005931319605
670.0,98.39005931319605
671.0,96.56734482779825
672.0,96.56734482779825
673.0,95.97370357313925
674.0,95.38682895832281
675.0,97.7754008313928
676.0,98.39005931319605
677.0,98.39005931319605
678.0,98.39005931319605
679.0,95.97370357313925
680.0,100.9225433161461
681.0,100.9225433161461
682.0,99.01197206452022
683.0,101.5747963289504
684.0,104.26460217515344
685.0,100.9225433161461
686.0,97.16787042949227
687.0,96.56734482779825
688.0,95.97370357313925
689.0,96.56734482779825
690.0,99.01197206452022
691.0,96.56734482779825
692.0,93.10473457855282
693.0,93.66566745505709
694.0,99.01197206452022
695.0,95.97370357313925
696.0,95.38682895832281
697.0,95.38682895832281
698.0,92.55001836231199
699.0,93.10473457855282
700.0,95.97370357313925
701.0,96.56734482779825
702.0,93.66566745505709
703.0,95.97370357313925
704.0,93.10473457855282
